Route,Stop,Stops away,Distance
B57,SMITH ST/UNION ST,13,1.63
B57,SMITH ST/UNION ST,13,1.63
B57,SMITH ST/UNION ST,13,1.63
B57,SMITH ST/UNION ST,13,1.63
B57,SMITH ST/UNION ST,13,1.63
B57,SMITH ST/UNION ST,13,1.63
B57,SMITH ST/UNION ST,13,1.63
B57,SMITH ST/UNION ST,13,1.63
B57,SMITH ST/UNION ST,13,1.63
B57,SMITH ST/UNION ST,11,1.54
B57,SMITH ST/UNION ST,10,1.26
B57,SMITH ST/UNION ST,9,1.1
B57,SMITH ST/UNION ST,7,0.93
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.64
B57,SMITH ST/UNION ST,1,0.28
B57,SMITH ST/UNION ST,0,0.1
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,11,1.34
B57,SMITH ST/UNION ST,10,1.3
B57,SMITH ST/UNION ST,9,1.18
B57,SMITH ST/UNION ST,7,0.95
B57,SMITH ST/UNION ST,6,0.78
B57,SMITH ST/UNION ST,5,0.75
B57,SMITH ST/UNION ST,5,0.69
B57,SMITH ST/UNION ST,3,0.5
B57,SMITH ST/UNION ST,1,0.24
B57,SMITH ST/UNION ST,0,0.16
B57,SMITH ST/UNION ST,12,1.55
B57,SMITH ST/UNION ST,12,1.55
B57,SMITH ST/UNION ST,12,1.55
B57,SMITH ST/UNION ST,12,1.55
B57,SMITH ST/UNION ST,12,1.55
B57,SMITH ST/UNION ST,12,1.55
B57,SMITH ST/UNION ST,12,1.55
B57,SMITH ST/UNION ST,12,1.55
B57,SMITH ST/UNION ST,12,1.55
B57,SMITH ST/UNION ST,12,1.55
B57,SMITH ST/UNION ST,13,1.56
B57,SMITH ST/UNION ST,11,1.54
B57,SMITH ST/UNION ST,11,1.54
B57,SMITH ST/UNION ST,11,1.54
B57,SMITH ST/UNION ST,11,1.53
B57,SMITH ST/UNION ST,11,1.32
B57,SMITH ST/UNION ST,10,1.24
B57,SMITH ST/UNION ST,10,1.2
B57,SMITH ST/UNION ST,10,1.2
B57,SMITH ST/UNION ST,8,1.05
B57,SMITH ST/UNION ST,7,0.9
B57,SMITH ST/UNION ST,6,0.76
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.64
B57,SMITH ST/UNION ST,3,0.51
B57,SMITH ST/UNION ST,3,0.51
B57,SMITH ST/UNION ST,2,0.39
B57,SMITH ST/UNION ST,1,0.24
B57,SMITH ST/UNION ST,0,0.17
B57,SMITH ST/UNION ST,0,0.03
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,11,1.53
B57,SMITH ST/UNION ST,11,1.33
B57,SMITH ST/UNION ST,10,1.22
B57,SMITH ST/UNION ST,9,1.1
B57,SMITH ST/UNION ST,7,0.92
B57,SMITH ST/UNION ST,6,0.78
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.6
B57,SMITH ST/UNION ST,3,0.48
B57,SMITH ST/UNION ST,1,0.23
B57,SMITH ST/UNION ST,0,0.15
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,11,1.54
B57,SMITH ST/UNION ST,11,1.33
B57,SMITH ST/UNION ST,10,1.19
B57,SMITH ST/UNION ST,8,1.01
B57,SMITH ST/UNION ST,6,0.85
B57,SMITH ST/UNION ST,6,0.75
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.7
B57,SMITH ST/UNION ST,3,0.51
B57,SMITH ST/UNION ST,2,0.32
B57,SMITH ST/UNION ST,0,0.17
B57,SMITH ST/UNION ST,0,0.12
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.6
